case number,Timestamp,"What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenantâ€™s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
CEL-87788-19,11/18/2020 0:31:41,1,1,1,-1,-1,1,0,1,0,0,0,"['L2', 'N8']",0,0.0
CEL-90549-19,11/18/2020 19:26:30,1,1,-1,1,0,0,0,0,0,1,1,[],0,0.5
TEL-94478-18,12/24/2020 9:19:21,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-94493-18,12/24/2020 6:13:17,0,1,0,0,0,0,0,1,0,1,0,[],0,1.0
CEL-72994-18,11/19/2020 17:02:37,1,0,0,1,0,0,0,0,0,1,0,[],0,0.5
CEL-73021-18,11/19/2020 17:14:22,0,0,0,-1,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
CEL-73052-18,11/19/2020 17:26:00,0,0,0,0,0,1,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
CEL-73107-18-RV,11/19/2020 18:31:42,0,0,0,1,-1,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
CEL-73197-18,11/19/2020 18:43:01,1,0,1,0,0,0,0,1,0,1,0,"['L1', 'L2', 'T2', 'T6']",0,0.0
CEL-73575-18,11/19/2020 19:07:50,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N8']",0,0.0
CEL-73640-18,11/19/2020 21:23:48,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'T1', 'T2', 'T6', 'N5']",0,0.0
CEL-73767-18,11/30/2020 21:23:51,0,0,0,0,0,1,0,0,0,1,0,"['L2', 'L9', 'N5']",0,0.0
CEL-90549-19,11/21/2020 19:11:58,1,1,-1,1,0,0,0,0,0,1,1,[],0,0.5
TNL-10004-18,11/21/2020 19:21:16,0,0,0,-1,-1,0,0,0,0,1,0,[],0,0.0
TNL-10206-18,11/21/2020 19:31:29,0,1,-1,1,0,0,0,0,0,1,0,[],0,0.5
TNL-10272-18,11/21/2020 20:05:51,0,0,1,-1,1,1,0,0,0,1,0,[],0,0.5
CEL-73963-18-RV,11/21/2020 20:34:14,1,1,1,0,0,1,1,1,0,1,0,"['L1', 'L4']",0,1.0
CEL-73985-18,11/21/2020 20:50:40,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'T2']",0,0.0
CEL-74056-18,11/21/2020 21:09:18,0,1,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-87330-18,1/28/2021 20:19:35,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-87339-18,1/28/2021 20:21:19,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
CEL-90549-19,11/22/2020 19:45:48,1,1,-1,1,-1,0,0,0,0,1,1,[],0,0.5
CEL-64556-17-RV,12/27/2020 20:14:47,0,0,1,0,1,0,0,0,0,1,1,['L1'],0,0.0
CEL-64707-17,1/6/2021 12:23:35,0,0,0,0,0,0,0,0,0,0,1,['L1'],0,0.0
TNL-95328-17,11/23/2020 20:37:29,0,0,0,0,-1,0,0,0,0,1,1,[],0,0.0
TNL-95937-17,11/23/2020 20:47:34,1,0,0,0,-1,0,0,0,0,0,0,['T6'],0,0.0
TNL-99287-17,11/24/2020 8:14:05,0,0,0,0,0,1,0,1,0,0,0,"['L2', 'T2']",0,1.0
SWL-16867-18,11/26/2020 12:26:53,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
SWL-16931-18,11/26/2020 12:38:24,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
SWL-17141-18,11/26/2020 12:52:49,0,1,-1,1,0,0,0,0,0,1,0,[],0,0.0
SWL-17145-18,11/26/2020 13:24:29,1,0,0,0,0,0,0,0,1,1,0,[],1,0.0
SWL-17145-18,11/26/2020 13:29:30,1,0,0,0,0,0,0,0,1,1,0,[],1,0.0
 SWL-17348-18,11/26/2020 13:40:11,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
SWL-17590-18,11/26/2020 13:49:26,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-89487-18,1/14/2021 14:35:46,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-99830-17,11/27/2020 20:53:20,0,0,0,0,-1,1,0,1,0,1,0,['L2'],0,1.0
TNL-99928-17,11/27/2020 21:03:21,0,1,1,0,1,0,0,1,1,1,1,[],0,0.5
TNT-05236-18,11/27/2020 21:38:24,0,0,0,0,0,1,0,1,0,1,0,['T2'],0,0.0
TSL-00273-18,11/27/2020 21:53:14,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
CEL-74078-18-RV,11/30/2020 14:10:45,0,0,0,0,0,0,0,0,0,0,0,['L1'],1,0.0
CEL-74519-18,11/30/2020 14:26:41,0,0,0,0,0,0,0,0,0,1,0,['N8'],0,0.0
CEL-74645-18,11/30/2020 21:42:21,1,0,1,0,-1,0,0,1,0,1,0,[],0,0.0
CEL-75210-18,11/30/2020 21:57:50,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
CEL-75340-18,11/30/2020 22:22:25,0,1,1,0,-1,0,0,0,0,1,0,"['L1', 'L2', 'N8']",0,0.0
CEL-75636-18,12/1/2020 15:43:40,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N7']",0,0.0
CEL-76112-18-RV,12/1/2020 15:57:05,1,0,0,1,0,0,0,1,0,1,0,"['L1', 'L2', 'N5']",0,0.0
SWL-17723-18,12/2/2020 20:24:29,0,0,0,0,0,0,0,0,0,1,0,['L2'],0,0.0
SWL-18289-18,12/2/2020 20:35:06,0,0,0,1,0,0,1,1,1,1,0,[],0,0.0
SWL-18712-18,12/2/2020 20:47:37,0,0,0,0,0,0,0,0,0,1,0,['N8'],0,0.0
SWL-19968-18-SA,1/6/2021 10:20:48,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L3']",0,0.0
SWL-20248-18   ,12/2/2020 21:16:55,0,0,0,1,0,0,0,0,0,1,0,"['L1', 'L2']",0,1.0
TEL-01781-19,12/2/2020 22:57:56,1,1,0,1,-1,1,1,0,0,1,0,['N8'],0,0.0
SWL-20341-18,12/3/2020 20:36:02,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N7']",0,0.0
SWL-21921-18,12/3/2020 20:57:07,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-80518-17-RV,12/3/2020 21:04:18,0,0,0,0,0,1,0,0,0,1,0,[],0,0.0
TEL-81897-17,12/3/2020 21:16:57,0,1,0,0,0,0,0,0,1,1,0,[],0,0.0
TEL-81898-17,12/5/2020 0:28:16,0,1,0,0,0,0,0,0,1,1,0,[],0,0.0
TEL-81899-17,12/5/2020 0:38:10,0,1,0,0,0,0,0,0,1,1,0,[],0,0.0
TEL-84192-17,12/5/2020 0:46:05,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,1.0
TEL-84647-17,12/7/2020 19:41:28,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-84691-17-RV,12/7/2020 20:00:24,1,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-85031-17,12/7/2020 20:08:46,0,1,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-85218-17,12/7/2020 20:46:08,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-85406-17   ,12/7/2020 20:59:44,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-85406-17,12/8/2020 20:00:08,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-85465-17-RV,12/8/2020 20:21:29,1,0,0,1,0,0,0,0,1,1,0,[],0,0.5
TEL-85893-17,12/8/2020 20:41:36,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-86027-17,12/8/2020 20:48:05,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
CEL-76171-18,12/18/2020 21:29:13,0,1,0,0,0,0,0,1,0,1,0,"['L1', 'L2', 'T2']",0,0.0
CEL-76435-18,12/18/2020 21:35:00,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
CEL-77001-18,12/18/2020 21:53:59,0,0,0,0,0,0,0,1,0,1,0,"['L2', 'L9', 'N5']",0,0.0
CEL-77276-18,12/20/2020 14:25:47,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
CEL-77276-18,1/4/2021 12:05:21,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
CEL-77282-18-RV,12/20/2020 14:35:33,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
CEL-77291-18,12/20/2020 14:49:49,1,1,1,0,-1,0,0,1,0,1,0,[],0,1.0
CEL-77313-18,12/22/2020 11:14:43,0,0,1,0,-1,0,0,0,0,1,0,[],0,1.0
CEL-77387-18,12/22/2020 11:26:09,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
CEL-77588-18,12/22/2020 11:39:22,0,1,1,0,-1,0,1,0,0,1,0,"['L1', 'L2', 'L8']",1,0.0
CEL-77598-18,12/22/2020 11:50:28,0,0,-1,-1,0,0,0,1,1,1,0,"['L1', 'L2']",0,0.5
TSL-81051-17,12/22/2020 17:40:04,0,0,0,0,-1,0,0,0,0,1,0,[],0,0.0
TSL-81884-17,12/22/2020 17:52:39,0,0,0,0,0,1,0,0,0,1,0,"['T2', 'T3']",0,0.0
TSL-82628-17-RV-HR,12/22/2020 18:07:26,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-86215-17,12/22/2020 18:24:14,0,0,0,0,0,0,0,0,0,1,0,['L1'],0,0.0
CEL-77739-18,12/22/2020 19:31:29,0,1,0,0,0,0,0,0,1,1,1,[],0,0.0
CEL-77833-18,12/22/2020 19:46:13,0,0,0,0,0,0,0,1,0,1,0,"['L1', 'L2', 'N7']",0,0.0
CEL-77933-18,12/22/2020 20:11:21,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'T6']",0,0.0
CEL-78005-18-RV,12/22/2020 20:33:55,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.5
TEL-89489-18,1/14/2021 14:39:09,1,0,-1,-1,0,0,0,1,0,1,0,"['L1', 'L2']",0,0.5
CEL-78138-18,12/23/2020 12:52:08,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-86427-17-RV,12/23/2020 18:46:05,1,0,0,0,0,0,0,1,0,1,0,"['L1', 'L9']",0,1.0
TSL-87859-17,12/23/2020 19:00:33,0,0,1,0,0,1,0,0,0,1,0,"['T3', 'T5', 'T6']",1,0.0
CEL-78307-18,12/23/2020 19:21:40,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
CEL-78365-18,12/23/2020 19:35:15,1,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
CEL-78430-18,12/23/2020 19:47:40,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N6', 'N8']",0,0.0
CEL-78549-18,12/23/2020 19:59:45,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TEL-89525-18,1/14/2021 14:44:26,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L8']",0,0.0
TEL-89565-18,1/14/2021 14:51:54,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-89604-18,1/14/2021 14:56:52,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-89637-18,1/14/2021 15:01:08,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-89644-18,1/14/2021 15:03:49,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-94512-18,12/24/2020 6:25:32,0,0,0,0,0,0,0,1,0,1,0,[],0,0.0
TEL-94597-18,12/24/2020 6:36:23,0,1,0,0,0,0,0,0,0,0,0,['N5'],0,0.0
TEL-94661-18,12/24/2020 6:53:55,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-94869-18,12/24/2020 7:02:58,1,0,1,0,-1,1,0,1,0,1,0,[],0,0.0
TEL-94870-18,12/24/2020 7:09:35,0,0,0,0,0,0,0,0,0,0,0,[],1,0.0
TEL-94962-18,12/24/2020 7:19:12,0,0,0,0,0,0,0,1,0,1,0,[],0,0.0
TEL-95255-18,12/24/2020 7:24:39,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-95255-18-AM   ,12/24/2020 7:30:46,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-95457-18,12/24/2020 7:41:49,0,0,0,0,0,0,0,0,0,1,0,['N5'],0,0.0
TEL-95691-18-IN,12/24/2020 7:50:05,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-96002-18,12/24/2020 8:04:24,0,1,1,0,-1,0,0,1,1,1,0,[],0,0.0
TEL-96550-18,12/24/2020 8:32:04,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-96690-18-SA,12/24/2020 8:41:24,0,1,1,0,1,1,1,0,0,1,0,[],0,1.0
 TSL-89992-17,12/24/2020 8:51:04,0,1,0,0,0,0,0,0,0,1,0,[],0,0.0
 TEL-94512-18,12/24/2020 9:27:25,0,0,0,0,0,0,0,1,0,0,0,[],0,0.0
TET-89650-18 / TET-89650-18,12/24/2020 10:06:45,0,0,-1,1,0,0,0,1,0,0,0,"['N5', 'N6']",0,0.0
TNL-00253-17,12/24/2020 10:10:55,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
 TNL-00793-18  TNL-01183-18,12/24/2020 10:14:38,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TNL-00821-18,12/24/2020 10:23:11,0,0,1,0,-1,0,1,0,0,0,0,[],0,1.0
 TNL-00822-18,12/24/2020 10:27:46,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'L2']",0,0.0
TNL-00911-18,12/24/2020 11:20:31,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TNL-01248-18,12/24/2020 11:31:57,0,1,1,0,-1,1,1,0,0,0,0,[],0,1.0
TEL-89697-18,1/14/2021 15:08:54,0,1,1,0,-1,0,1,1,0,1,0,[],0,0.0
TEL-89698-18,1/14/2021 15:15:38,0,1,-1,1,0,0,0,1,0,1,0,[],0,0.5
CEL-87788-19,12/24/2020 15:30:14,1,1,1,1,-1,1,0,1,1,1,0,"['L2', 'N8']",1,0.0
CEL-79487-18,12/24/2020 15:41:18,0,1,0,0,0,0,0,1,0,1,0,[],0,1.0
EAL-83967-19,12/24/2020 15:45:29,1,0,-1,1,0,1,0,0,0,1,0,['L1'],0,1.0
CET-70370-17,12/24/2020 15:51:37,0,1,0,1,0,0,0,1,0,0,1,[],0,0.5
HOL-06021-19,12/24/2020 15:57:12,0,0,-1,-1,0,1,0,0,0,1,0,['L1'],0,1.0
HOL-06092-19,12/24/2020 16:10:42,0,0,0,0,0,1,0,0,0,1,0,[],0,0.0
TEL-01195-19-RV,12/24/2020 22:20:20,0,0,0,0,0,0,0,0,0,0,0,['L2'],0,0.0
TEL-02564-19-RV,12/24/2020 22:38:41,0,1,-1,1,0,0,1,1,0,1,0,"['L2', 'N8']",0,0.0
TNL-01365-18,12/25/2020 7:12:16,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TNL-01527-18,12/25/2020 7:23:09,0,1,1,1,-1,1,0,0,0,0,0,['L1'],0,0.5
 TNL-01582-18-AM,12/25/2020 7:29:39,1,0,0,0,0,0,0,0,0,0,0,[],0,0.5
TNL-01740-18,12/25/2020 7:34:18,0,0,1,0,-1,0,0,1,0,0,0,[],0,0.5
 TNL-01839-18,12/25/2020 7:38:09,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
 TNL-02075-18,12/25/2020 7:43:55,0,0,0,0,0,0,0,0,0,0,0,['N5'],0,0.0
 TNL-02210-18,12/25/2020 7:47:40,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
 TNL-02284-18,12/25/2020 7:58:27,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'L9', 'T6']",1,0.0
TNL-02343-18,12/25/2020 8:02:31,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TNL-02440-18-RV,12/25/2020 8:09:32,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
 TNL-02453-18,12/25/2020 8:17:46,0,0,1,0,-1,1,1,0,0,0,0,[],0,0.5
TNL-02875-18,12/25/2020 8:30:46,0,0,0,0,0,0,0,0,0,0,0,['L1'],0,0.0
 TNL-03085-18,12/25/2020 8:34:44,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TEL-02811-19-RV,12/25/2020 12:16:43,1,1,0,0,0,1,0,0,0,1,0,['L1'],0,0.0
TEL-03413-19,12/25/2020 12:27:41,0,1,0,0,0,0,0,1,0,1,0,"['L2', 'N5']",0,0.0
CET-74655-18,12/25/2020 12:41:05,0,1,0,0,0,0,0,1,0,1,0,"['L2', 'T2', 'T6', 'N8']",0,0.0
TEL-03502-19,12/25/2020 12:41:29,0,0,0,0,0,0,0,0,0,1,0,['L1'],1,0.0
EAL-71135-18,12/25/2020 12:58:16,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TEL-03588-19,12/25/2020 13:02:40,0,1,1,0,0,1,0,0,0,1,1,['L1'],0,0.5
EAL-73036-18,12/25/2020 13:08:30,0,1,0,1,0,0,0,0,0,0,0,"['L1', 'L2']",0,0.0
EAL-73495-18,12/25/2020 14:54:12,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'L2', 'N7']",0,0.0
EAL-76016-18,12/25/2020 15:23:35,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
HOL-02048-17,12/25/2020 15:37:44,0,0,1,0,-1,1,0,0,0,0,0,[],0,1.0
HOL-02106-17,12/25/2020 15:45:37,0,1,1,0,-1,0,0,1,0,1,0,[],0,0.5
TNL-03242-18,12/25/2020 16:37:55,1,0,1,0,-1,0,0,1,1,0,0,[],0,0.5
TNL-03260-18,12/26/2020 10:50:20,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
